index	fib_sum	dfsr	ifsr	actlr	cpacr	pmcr	cache_aux_cntrl	cntrl
1	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	1
1	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	1
1	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	1
1	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	1
1	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	1
1	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	1
1	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	1
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
2	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	2
3	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	3
3	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	3
3	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	3
3	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	3
3	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	3
3	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	3
3	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	3
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
4	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	4
5	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	5
5	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	5
5	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	5
5	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	5
5	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	5
5	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	5
5	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	5
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
6	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	6
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
7	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	7
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
8	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	8
9	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	9
9	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	9
9	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	9
9	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	9
9	14930352	0	0	2147485276	15728640	2147483648	270532674	12916861	9
